symbol
BAC
WFC
C
SCHW
USB
KEY
RF
FITB
HBAN
CSCO
INTC
HPQ
U
DOCU
ZM
SNAP
PINS
LYFT
UBER
RBLX
PYPL
SOFI
PLTR
HOOD
DKNG
F
GM
AAL
DAL
UAL
LUV
CCL
NCLH
OXY
MRO
HAL
SLB
KMI
PBR
FCX
AA
CLF
X
PFE
BMY
CVS
WBA
VTRS
GILD
KO
KR
KHC
GIS
BBY
KSS
M
NEE
SO
XEL
O
VZ
T
