symbol
AAPL
MSFT
NVDA
AMD
GOOG
META
AMZN
TSLA
NFLX
AVGO
ADBE
CRM
ORCL
INTC
CSCO
TXN
QCOM
IBM
AMD
SHOP
PYPL
SQ
TWLO
ZM
UBER
LYFT
ABNB
BKNG
EXPE
MAR
HLT
LUV
DAL
UAL
AAL
JBLU
BA
LMT
NOC
RTX
GD
HON
MMM
GE
CAT
DE
CMI
ETN
EMR
PH
TSM
ASML
AMD
INTU
NOW
MDB
SNOW
DDOG
ZS
NET
CRWD
PANW
FTNT
MS
GS
JPM
BAC
C
WFC
SCHW
BLK
TROW
MSCI
SPGI
ICE
NDAQ
BRK.B
V
MA
AXP
COF
DFS
HD
LOW
COST
TGT
WMT
BBY
ROST
TJX
NKE
LULU
ADDYY
DECK
PVH
RL
GM
F
TM
HMC
TSLA
RIVN
FISK
XOM
CVX
COP
SLB
HAL
BKR
VLO
PSX
MPC
EOG
PXD
OXY
DVN
FANG
CVS
UNH
PFE
ABBV
JNJ
MRK
LLY
BMY
GILD
REGN
AMGN
BIIB
ISRG
MDT
SYK
ZBH
BSX
EW
WBA
RAD
CI
HUM
ANTM
TMO
A
DHR
ILMN
RHHBY
VRTX
VRTX
BKNG
DPZ
MCD
SBUX
YUM
CMG
QSR
PEP
KO
MNST
KDP
MDLZ
GIS
K
CAG
HSY
CLX
KMB
PM
MO
BTI
PG
CL
EL
UL
D
NEE
DUK
SO
EXC
AEP
SRE
XEL
PEG
ED
PCG
FE
AWK
ATO
EIX
PPL
AEE
AEP
LNT
OKE
WMB
KMI
ENB
TRP
PPL
TSO
SPY
QQQ
IWM
SMH
SOXX
XLK
XLF
XLE
XLI
XLY
XLP
XLV
XLC
XLU
IYT
ITA
IYR
VNQ
IEMG
EFA
EEM
VOO
VTI
VT
VXUS
IJR
MDY
HOLX
ALK
CPRT
RSG
WM
FDX
UPS
FIS
FISV
GPN
PAYX
ADP
CTAS
ROP
XYL
HWM
TDG
ALGN
IDXX
MTCH
ROKU
TTD
NVCR
LRCX
KLAC
AMAT
MU
WDAY
TEAM
ZEN
OKTA
ANET
DD
APD
LIN
SHW
PPG
FCX
NUE
STLD
AA
X
CF
MOS
TREX
DHI
LEN
PHM
NVR
LOW
HD
FAST
GWW
URI
MLM
VMC
EXP
MAS
WHR
LEG
F
GM
NKE
UAA
UA
TPR
KORS
SIG
HAS
MAT
EA
TTWO
ATVI
BIDU
BABA
JD
PDD
TCEHY
BILI
NTES
INFY
WIT
SAP
ORAN
ERIC
NOK
VZ
T
TMUS
CMCSA
CHTR
DISH
DIS
PARA
WBD
FOX
FOXA
VIAC
AMCX

